项集,项集大小,支持度,支持度(%)
超市购物,1,0.934,93.4%
餐饮美食,1,0.115,11.5%
"餐饮美食, 超市购物",2,0.098,9.8%
其他,1,0.082,8.2%
交通出行,1,0.082,8.2%
"超市购物, 其他",2,0.066,6.6%
"超市购物, 交通出行",2,0.066,6.6%
"餐饮美食, 其他",2,0.033,3.3%
"餐饮美食, 交通出行",2,0.033,3.3%
"餐饮美食, 超市购物, 其他",3,0.033,3.3%
"餐饮美食, 超市购物, 交通出行",3,0.033,3.3%
