消费类目,总金额(元),消费笔数,平均金额(元),金额占比
交通出行,8.0,7,1.1428571428571428,0.3%
服饰美容,30.0,1,30.0,1.1%
餐饮美食,308.36,8,38.545,11.4%
超市购物,819.11,110,7.446454545454546,30.2%
其他,1548.0,6,258.0,57.0%
