category,count,avg_amount,weekend_pct,payday_pct,necessary_pct
其他,6,258.0,16.666666666666664,83.33333333333334,0.0
餐饮美食,8,38.545,0.0,12.5,100.0
服饰美容,1,30.0,0.0,0.0,0.0
超市购物,110,7.446454545454546,24.545454545454547,25.454545454545453,100.0
交通出行,7,1.1428571428571428,14.285714285714285,0.0,100.0
